Building,"_time",Clients
MontPetit,"2022-02-10T00:00:00.000-0500",316
STEM,"2022-02-04T00:00:00.000-0500",316
ARC,"2021-12-01T00:00:00.000-0500",315
RGN,"2021-11-28T00:00:00.000-0500",315
UniCenter,"2021-12-05T00:00:00.000-0500",315
Marion,"2022-02-09T00:00:00.000-0500",314
RGN,"2022-01-17T00:00:00.000-0500",314
SITE,"2021-11-18T00:00:00.000-0500",314
bioScience,"2022-02-10T00:00:00.000-0500",314
SITE,"2021-11-23T00:00:00.000-0500",313
CBY,"2022-02-01T00:00:00.000-0500",312
SPX,"2021-12-01T00:00:00.000-0500",312
SITE,"2021-11-22T00:00:00.000-0500",310
SITE,"2021-12-03T00:00:00.000-0500",310
Fauteux,"2022-02-01T00:00:00.000-0500",309
CBY,"2021-12-08T00:00:00.000-0500",308
SITE,"2022-02-04T00:00:00.000-0500",308
Tabaret,"2021-12-15T00:00:00.000-0500",307
bioScience,"2021-11-24T00:00:00.000-0500",307
DMS,"2021-12-03T00:00:00.000-0500",306
Marion,"2021-11-23T00:00:00.000-0500",306
SITE,"2021-12-02T00:00:00.000-0500",306
Marion,"2021-11-18T00:00:00.000-0500",305
CBY,"2021-12-02T00:00:00.000-0500",304
STEM,"2021-12-09T00:00:00.000-0500",304
ARC,"2021-12-15T00:00:00.000-0500",303
SITE,"2022-02-02T00:00:00.000-0500",303
Tabaret,"2021-11-23T00:00:00.000-0500",303
CBY,"2021-12-06T00:00:00.000-0500",302
DMS,"2021-12-08T00:00:00.000-0500",302
Fauteux,"2022-02-09T00:00:00.000-0500",302
FSS,"2021-12-13T00:00:00.000-0500",301
Fauteux,"2021-11-25T00:00:00.000-0500",300
Morriset,"2021-11-16T00:00:00.000-0500",300
SITE,"2021-11-17T00:00:00.000-0500",300
MontPetit,"2022-02-02T00:00:00.000-0500",299
SITE,"2021-11-19T00:00:00.000-0500",299
Fauteux,"2021-11-22T00:00:00.000-0500",298
MontPetit,"2021-11-17T00:00:00.000-0500",297
Marion,"2021-11-22T00:00:00.000-0500",296
Vanier,"2022-02-09T00:00:00.000-0500",296
DMS,"2021-12-09T00:00:00.000-0500",295
Fauteux,"2021-11-17T00:00:00.000-0500",295
Fauteux,"2021-12-07T00:00:00.000-0500",295
Morisset,"2021-11-20T00:00:00.000-0500",295
Marion,"2021-11-24T00:00:00.000-0500",294
SITE,"2022-02-07T00:00:00.000-0500",294
SITE,"2022-02-10T00:00:00.000-0500",294
Fauteux,"2021-11-19T00:00:00.000-0500",293
CRX,"2022-01-29T00:00:00.000-0500",290
CRX,"2022-01-23T00:00:00.000-0500",289
Tabaret,"2021-11-19T00:00:00.000-0500",288
CRX,"2021-12-19T00:00:00.000-0500",287
MontPetit,"2022-02-08T00:00:00.000-0500",287
FSS,"2021-12-16T00:00:00.000-0500",286
CRX,"2021-12-18T00:00:00.000-0500",285
Marion,"2021-11-17T00:00:00.000-0500",283
Marion,"2022-02-01T00:00:00.000-0500",283
SITE,"2021-11-26T00:00:00.000-0500",283
SITE,"2022-02-03T00:00:00.000-0500",283
STEM,"2022-01-31T00:00:00.000-0500",283
MontPetit,"2021-11-23T00:00:00.000-0500",282
SPX,"2021-12-15T00:00:00.000-0500",282
DMS,"2022-02-04T00:00:00.000-0500",281
Tabaret,"2021-12-07T00:00:00.000-0500",281
RGN,"2021-11-27T00:00:00.000-0500",280
MontPetit,"2021-12-15T00:00:00.000-0500",279
RGN,"2021-11-21T00:00:00.000-0500",277
Diorio,"2021-12-15T00:00:00.000-0500",276
RGN,"2021-11-20T00:00:00.000-0500",275
DMS,"2022-01-31T00:00:00.000-0500",274
DMS,"2022-02-01T00:00:00.000-0500",274
MontPetit,"2021-11-18T00:00:00.000-0500",274
Morisset,"2021-12-17T00:00:00.000-0500",274
RGN,"2021-12-05T00:00:00.000-0500",274
bioScience,"2021-11-22T00:00:00.000-0500",274
STEM,"2021-12-08T00:00:00.000-0500",273
bioScience,"2022-02-08T00:00:00.000-0500",273
Fauteux,"2021-12-15T00:00:00.000-0500",272
Marion,"2021-11-29T00:00:00.000-0500",272
